# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +5.2162278237413311e+00 +1.2366901604018337e+05 +4.2355092599292700e+11 +1.4597792246219305e+18 
+1.0000000000000001e-01 +5.2162275661071398e+00 +1.2367744175649181e+05 +4.2338142140406952e+11 +1.4604657824425825e+18 
+2.0000000000000001e-01 +5.2162267981585577e+00 +1.2370212929759559e+05 +4.2289325172462549e+11 +1.4624528535921669e+18 
+3.0000000000000004e-01 +5.2162255273267366e+00 +1.2374219423405299e+05 +4.2211693347461041e+11 +1.4656315323531005e+18 
+4.0000000000000002e-01 +5.2162237610425990e+00 +1.2379675216265672e+05 +4.2108298257537073e+11 +1.4698929165800934e+18 
+5.0000000000000000e-01 +5.2162215067373774e+00 +1.2386491864394759e+05 +4.1982191578756415e+11 +1.4751280990576100e+18 
+6.0000000000000009e-01 +5.2162187718417341e+00 +1.2394580930812607e+05 +4.1836424825160504e+11 +1.4812281823560218e+18 
+7.0000000000000007e-01 +5.2162155637873493e+00 +1.2403853965849285e+05 +4.1674049805066626e+11 +1.4880842513507814e+18 
+8.0000000000000004e-01 +5.2162118900048124e+00 +1.2414222533592132e+05 +4.1498118008170569e+11 +1.4955874100393083e+18 
+9.0000000000000002e-01 +5.2162077579253339e+00 +1.2425598190063494e+05 +4.1311681112754315e+11 +1.5036287510402488e+18 
+1.0000000000000000e+00 +5.2162031749799427e+00 +1.2437892493706067e+05 +4.1117790739308923e+11 +1.5120993705102492e+18 
+1.1000000000000001e+00 +5.2161981457930686e+00 +1.2451043200382535e+05 +4.0918610744414410e+11 +1.5209339588357238e+18 
+1.2000000000000002e+00 +5.2161926637624134e+00 +1.2465092856938198e+05 +4.0712753921217975e+11 +1.5302415830658895e+18 
+1.3000000000000000e+00 +5.2161867194792100e+00 +1.2480110206590706e+05 +4.0497945318989557e+11 +1.5401749034092045e+18 
+1.4000000000000001e+00 +5.2161803035344603e+00 +1.2496163994720424e+05 +4.0271909943376483e+11 +1.5508865824742984e+18 
+1.5000000000000000e+00 +5.2161734065196583e+00 +1.2513322961241164e+05 +4.0032372918112885e+11 +1.5625292760984120e+18 
+1.6000000000000001e+00 +5.2161660190255477e+00 +1.2531655854334656e+05 +3.9777059188436395e+11 +1.5752556503665608e+18 
+1.7000000000000002e+00 +5.2161581316435006e+00 +1.2551231415560305e+05 +3.9503693839807666e+11 +1.5892183633965640e+18 
+1.8000000000000000e+00 +5.2161497349646266e+00 +1.2572118389045144e+05 +3.9210001905744189e+11 +1.6045700761785393e+18 
+1.9000000000000001e+00 +5.2161408195801071e+00 +1.2594385518447041e+05 +3.8893708425864880e+11 +1.6214634494859013e+18 
