# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +2.4880798251641689e-01 +5.8983445302545215e+03 +2.0215231871103283e+10 +6.9556837191149136e+16 
+1.0000000000000001e-01 +2.4880797008344768e-01 +5.8987550612411260e+03 +2.0206995383076218e+10 +6.9590498006502456e+16 
+2.0000000000000001e-01 +2.4880793306557311e-01 +5.8999558545640775e+03 +2.0183306057602253e+10 +6.9687686950434208e+16 
+3.0000000000000004e-01 +2.4880787188432896e-01 +5.9019007125657672e+03 +2.0145694061921589e+10 +6.9842714009664960e+16 
+4.0000000000000002e-01 +2.4880778696125458e-01 +5.9045434372132249e+03 +2.0095689569700275e+10 +7.0049889141221472e+16 
+5.0000000000000000e-01 +2.4880767871789841e-01 +5.9078378293627511e+03 +2.0034822781615349e+10 +7.0303522134381544e+16 
+6.0000000000000009e-01 +2.4880754757578891e-01 +5.9117376920651905e+03 +1.9964623849332825e+10 +7.0597923067294896e+16 
+7.0000000000000007e-01 +2.4880739395647186e-01 +5.9161968267667680e+03 +1.9886622956980572e+10 +7.0927401838604600e+16 
+8.0000000000000004e-01 +2.4880721828148900e-01 +5.9211690348504717e+03 +1.9802350295213543e+10 +7.1286268291138424e+16 
+9.0000000000000002e-01 +2.4880702097238594e-01 +5.9266081175881563e+03 +1.9713336053547157e+10 +7.1668832287216560e+16 
+1.0000000000000000e+00 +2.4880680245068953e-01 +5.9324678784055450e+03 +1.9621110374304779e+10 +7.2069403962400576e+16 
+1.1000000000000001e+00 +2.4880656297989914e-01 +5.9387161087067971e+03 +1.9526750716115952e+10 +7.2484581316262080e+16 
+1.2000000000000002e+00 +2.4880630219122915e-01 +5.9453765731103076e+03 +1.9429523320625053e+10 +7.2920116657308672e+16 
+1.3000000000000000e+00 +2.4880601955789397e-01 +5.9524870205958578e+03 +1.9328241830837738e+10 +7.3384049643397808e+16 
